INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
42180,1970,04,30,39.7,21.1,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,01,41.0,21.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,02,42.3,20.4,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,03,44.0,20.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,04,44.4,23.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,05,41.8,29.4,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,1,0,0,3,5,040,9,5,090,6,6,020, , ,   ,  ,
42180,1970,05,06,39.0,26.7,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,1,0,1,9,6,335,3,6,065, , ,   , , ,   ,  ,
42180,1970,05,07,37.4,22.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,2,025, , ,   , , ,   , , ,   ,  ,
42180,1970,05,08,40.2,20.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,09,42.0,23.3,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,10,42.7,25.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,11,43.6,24.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,12,44.6,23.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,13,45.6,24.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,14,45.8,25.5,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,15,45.0,29.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,16,45.5,28.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,17,46.2,25.4,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,19,41.5,27.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,20,41.0,29.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,1,0,0,3,8,110,9,8,060, , ,   , , ,   ,  ,
42180,1970,05,21,33.5,23.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,175,6,4,026, , ,   , , ,   ,  ,
42180,1970,05,22,37.6,24.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,23,34.0,24.7,  ,0.8,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,2,304,6,2,225, , ,   , , ,   ,  ,
42180,1970,05,24,36.8,23.2,  ,11.6,   ,  ,  ,   ,01,7,117,7,2050,08,0,0,0,0,0,0,1,0,0,3,6,050,7,7,012, , ,   , , ,   ,  ,
42180,1970,05,25,36.0,21.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,26,38.6,25.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,1,0,0,3,7,045,6,8,028,5,8,005,9,8,035,  ,
42180,1970,05,27,38.5,23.3,  ,0.2,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,1,0,0,9,1,325,6,1,045,3,7,020, , ,   ,  ,
42180,1970,05,28,38.2,24.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,29,38.2,25.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,05,30,37.6,22.0,  ,2.1,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,0,1,285,9,3,035,6,3,035, , ,   ,  ,
42180,1970,05,31,40.6,25.3,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,1,0,0,3,6,035,9,6,065,6,6,025, , ,   ,  ,
42180,1970,06,01,40.6,26.7,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,02,40.0,28.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,1,0,0,3,7,150,9,8,145,6,8,040, , ,   ,  ,
42180,1970,06,03,39.4,22.8,  ,4.2,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,240,6,1,210, , ,   , , ,   ,  ,
42180,1970,06,04,35.6,26.7,  ,7.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,1,0,0,9,5,015,3,5,015, , ,   , , ,   ,  ,
42180,1970,06,05,40.2,22.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,1,0,0,0,1,280,3,1,085,5,8,035, , ,   ,  ,
42180,1970,06,06,32.6,19.4,  ,16.4,   ,  ,  ,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,5,1,080,0,1,255,6,1,550,9,2,215,  ,
42180,1970,06,07,26.0,22.8,  ,7.5,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,08,32.8,23.4,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,09,37.8,23.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,10,39.8,25.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,11,39.6,28.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,12,39.6,28.3,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,13,38.7,29.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,14,38.5,28.1,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,1,0,0,3,5,030,6,5,050, , ,   , , ,   ,  ,
42180,1970,06,15,36.8,26.0,  ,7.6,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,16,35.0,22.5,  ,0.6,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,17,33.0,24.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,18,37.2,25.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,19,40.4,27.3,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,20,42.4,30.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,21,43.0,32.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,22,43.0,33.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,23,40.8,31.7,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,6,035, , ,   , , ,   , , ,   ,  ,
42180,1970,06,24,40.8,28.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,6,005, , ,   , , ,   , , ,   ,  ,
42180,1970,06,25,41.5,28.9,  ,0.2,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,1,065, , ,   , , ,   , , ,   ,  ,
42180,1970,06,26,39.4,26.4,  ,2.4,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,3,110,6,3,075, , ,   , , ,   ,  ,
42180,1970,06,27,36.0,27.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1970,06,28,39.7,30.6,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,0,0,0,0,8,040,9,8,070, , ,   , , ,   ,  ,
42180,1970,06,29,37.3,23.3,  ,30.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,525,6,1,530, , ,   , , ,   ,  ,
42180,1970,06,30,,22.8,  ,49.2,   ,  ,  ,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,1,475,5,4,040, , ,   , , ,   ,  ,
42180,1971,03,01,21.2,8.3,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,02,21.6,8.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,2,2,255,1,4,120,5,6,025, , ,   ,  ,
42180,1971,03,03,20.1,12.5,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,2,198, , ,   , , ,   , , ,   ,  ,
42180,1971,03,04,23.5,7.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,1,0,0,3,6,030,0,7,025,9,7,110,6,7,015,  ,
42180,1971,03,05,25.8,7.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,06,23.0,7.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,07,22.2,7.8,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,08,25.6,11.7,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,09,26.8,10.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,1,0,4,2,070,2,3,060,1,3,050, , ,   ,  ,
42180,1971,03,10,28.0,11.1,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,11,29.3,12.4,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,12,31.4,11.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,13,30.4,11.9,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,14,31.2,11.7,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,15,31.4,11.0,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,16,32.2,11.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,17,33.4,11.7,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,18,33.4,14.4,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,19,32.8,17.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,20,34.2,15.1,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,21,35.0,15.3,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42180,1971,03,22,34.8,17.2,  ,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
